FIPS,Name,2023 Rural-urban Continuum Code*,1970,1980,1990,2000,2008-2012,2018-2022
13317,"Wilkes, GA        ",8,17.3%,20.1%,33.5%,35.9%,37.5%,44.6%
13319,"Wilkinson, GA        ",8,12.2%,25.1%,39.3%,41.4%,43.9%,48.0%
13321,"Worth, GA        ",3,19.1%,26.1%,37.8%,38.1%,38.3%,44.2%
40000,Oklahoma,,30.0%,34.8%,30.5%,31.5%,31.7%,30.8%
40001,"Adair, OK        ",8,17.8%,28.9%,29.5%,38.1%,40.3%,46.6%
40003,"Alfalfa, OK        ",8,34.4%,36.3%,38.1%,40.8%,38.6%,37.2%
40005,"Atoka, OK        ",9,17.6%,27.6%,32.4%,39.9%,41.2%,40.8%
40007,"Beaver, OK        ",9,31.6%,38.3%,34.8%,36.3%,36.8%,31.0%
40009,"Beckham, OK        ",7,25.8%,32.5%,32.4%,34.7%,36.8%,39.5%
40011,"Blaine, OK        ",8,29.5%,37.0%,39.8%,41.2%,36.8%,36.4%
40013,"Bryan, OK        ",6,22.1%,28.1%,28.5%,31.8%,32.8%,34.2%
40015,"Caddo, OK        ",6,26.0%,32.4%,37.3%,40.5%,40.5%,45.4%
40017,"Canadian, OK        ",1,37.8%,40.3%,32.4%,32.0%,28.8%,27.2%
40019,"Carter, OK        ",5,28.5%,35.0%,35.1%,36.8%,42.3%,36.1%
40021,"Cherokee, OK        ",6,18.4%,23.9%,25.8%,30.2%,30.1%,32.0%
40023,"Choctaw, OK        ",9,18.0%,30.8%,35.1%,36.7%,41.0%,38.4%
40025,"Cimarron, OK        ",9,32.6%,40.2%,32.2%,31.5%,34.3%,36.7%
40027,"Cleveland, OK        ",1,29.4%,32.4%,26.5%,26.7%,26.2%,25.1%
40029,"Coal, OK        ",9,18.4%,26.8%,34.9%,37.0%,45.1%,42.4%
40031,"Comanche, OK        ",3,36.4%,39.5%,32.7%,31.5%,34.0%,32.7%
40033,"Cotton, OK        ",3,29.7%,32.9%,35.4%,39.2%,42.8%,38.6%
40035,"Craig, OK        ",6,30.3%,37.1%,34.8%,40.7%,37.7%,40.3%
40037,"Creek, OK        ",1,28.1%,38.6%,37.6%,40.0%,38.3%,39.9%
40039,"Custer, OK        ",5,29.3%,31.2%,29.7%,31.4%,30.6%,27.4%
40041,"Delaware, OK        ",6,24.2%,34.8%,33.6%,37.0%,39.6%,37.3%
40043,"Dewey, OK        ",9,29.9%,39.3%,37.1%,40.8%,41.9%,44.4%
40045,"Ellis, OK        ",9,28.2%,37.0%,37.3%,38.2%,33.1%,37.9%
40047,"Garfield, OK        ",3,34.3%,38.7%,36.4%,35.6%,36.8%,36.6%
40049,"Garvin, OK        ",6,24.9%,33.1%,35.6%,40.4%,42.7%,43.5%
40051,"Grady, OK        ",1,26.5%,34.6%,34.2%,38.3%,36.9%,39.1%
40053,"Grant, OK        ",8,38.7%,41.5%,36.6%,39.1%,37.3%,37.6%
40055,"Greer, OK        ",9,24.7%,31.3%,31.6%,36.3%,37.6%,36.2%
40057,"Harmon, OK        ",9,22.5%,29.2%,29.7%,32.2%,29.2%,33.7%
40059,"Harper, OK        ",9,33.7%,38.8%,38.9%,36.3%,42.4%,32.0%
40061,"Haskell, OK        ",8,17.7%,28.2%,30.1%,32.6%,34.0%,40.8%
40063,"Hughes, OK        ",9,22.7%,30.4%,33.1%,39.1%,37.7%,41.4%
40065,"Jackson, OK        ",7,34.7%,36.3%,27.3%,26.9%,27.6%,26.4%
40067,"Jefferson, OK        ",8,25.6%,32.2%,33.9%,37.4%,45.7%,41.8%
40069,"Johnston, OK        ",9,15.3%,27.4%,27.8%,30.4%,30.6%,37.0%
40071,"Kay, OK        ",4,31.4%,34.4%,31.1%,33.2%,34.9%,34.1%
40073,"Kingfisher, OK        ",8,33.5%,39.2%,39.7%,38.7%,33.0%,43.4%
40075,"Kiowa, OK        ",8,29.1%,33.5%,32.7%,36.2%,38.8%,32.1%
40077,"Latimer, OK        ",9,19.4%,27.7%,24.5%,34.8%,33.7%,37.5%
40079,"Le Flore, OK        ",6,20.7%,29.0%,29.0%,35.1%,37.2%,40.2%
40081,"Lincoln, OK        ",1,28.6%,38.7%,38.8%,42.0%,41.4%,41.5%
40083,"Logan, OK        ",1,29.5%,34.6%,34.8%,34.6%,33.0%,31.0%
40085,"Love, OK        ",9,25.5%,31.7%,37.2%,41.4%,44.8%,36.9%
40087,"McClain, OK        ",1,26.7%,36.3%,36.1%,36.8%,35.9%,31.9%
40089,"McCurtain, OK        ",7,20.5%,30.3%,31.7%,36.2%,41.4%,42.3%
40091,"McIntosh, OK        ",8,21.9%,30.5%,28.7%,34.2%,37.2%,43.8%
40093,"Major, OK        ",8,32.0%,38.3%,37.8%,40.4%,42.7%,43.2%
40095,"Marshall, OK        ",9,20.8%,33.5%,28.8%,34.3%,37.8%,38.4%
40097,"Mayes, OK        ",6,28.2%,36.2%,34.7%,38.1%,38.7%,40.0%
40099,"Murray, OK        ",9,23.2%,30.3%,30.9%,35.8%,40.4%,40.9%
40101,"Muskogee, OK        ",4,26.5%,32.5%,30.9%,31.9%,33.2%,34.3%
40103,"Noble, OK        ",8,30.3%,37.2%,38.2%,40.1%,35.9%,37.1%
40105,"Nowata, OK        ",8,25.4%,35.0%,38.6%,42.7%,41.3%,41.6%
40107,"Okfuskee, OK        ",8,22.4%,29.9%,36.2%,39.7%,39.6%,39.8%
40109,"Oklahoma, OK        ",1,32.7%,34.8%,26.1%,26.0%,25.5%,24.2%
40111,"Okmulgee, OK        ",1,26.0%,32.8%,32.6%,35.3%,36.9%,35.7%
40113,"Osage, OK        ",1,30.7%,38.3%,35.8%,36.4%,40.3%,37.1%
40115,"Ottawa, OK        ",6,28.7%,35.1%,31.8%,34.6%,36.1%,35.2%
40117,"Pawnee, OK        ",1,28.5%,39.8%,41.2%,40.2%,41.1%,42.4%
40119,"Payne, OK        ",4,25.2%,29.6%,27.0%,26.7%,27.2%,27.8%
40121,"Pittsburg, OK        ",7,26.1%,31.8%,31.3%,36.5%,36.1%,37.2%
40123,"Pontotoc, OK        ",7,24.0%,29.0%,29.0%,31.7%,30.5%,33.2%
40125,"Pottawatomie, OK        ",4,30.3%,37.4%,33.0%,35.6%,36.8%,35.0%
40127,"Pushmataha, OK        ",9,19.9%,32.3%,33.6%,35.4%,40.0%,44.0%
40129,"Roger Mills, OK        ",9,27.3%,38.3%,39.6%,38.6%,37.0%,34.3%
40131,"Rogers, OK        ",1,32.7%,39.2%,34.9%,32.8%,32.6%,33.1%
40133,"Seminole, OK        ",7,24.3%,32.9%,30.4%,34.8%,37.2%,36.5%
40135,"Sequoyah, OK        ",3,20.9%,30.4%,30.5%,34.9%,40.8%,38.4%
40137,"Stephens, OK        ",4,31.5%,37.5%,34.6%,37.3%,41.0%,42.2%
40139,"Texas, OK        ",7,30.3%,34.3%,34.8%,28.6%,25.3%,27.8%
40141,"Tillman, OK        ",8,25.1%,29.3%,29.8%,34.3%,35.5%,34.5%
40143,"Tulsa, OK        ",1,34.8%,36.4%,27.6%,26.5%,26.5%,25.3%
40145,"Wagoner, OK        ",1,28.5%,37.1%,35.3%,35.8%,33.8%,30.6%
40147,"Washington, OK        ",4,34.0%,34.0%,29.7%,32.1%,34.2%,32.3%
40149,"Washita, OK        ",9,29.0%,40.0%,36.2%,39.1%,40.7%,40.6%
40151,"Woods, OK        ",7,25.1%,29.0%,26.2%,31.9%,31.8%,30.7%
40153,"Woodward, OK        ",7,34.0%,40.7%,38.0%,38.2%,37.3%,40.3%
01000,Alabama,,25.9%,31.8%,29.4%,30.4%,31.3%,30.4%
01001,"Autauga, AL        ",2,31.1%,35.2%,32.0%,33.8%,33.8%,31.1%
01003,"Baldwin, AL        ",3,26.7%,33.7%,31.8%,29.6%,28.8%,27.8%
01005,"Barbour, AL        ",6,19.0%,26.1%,27.1%,32.4%,33.3%,36.8%
01007,"Bibb, AL        ",1,19.4%,29.6%,33.8%,35.7%,41.6%,40.9%
01009,"Blount, AL        ",1,22.7%,32.4%,34.7%,36.0%,36.2%,35.3%
01011,"Bullock, AL        ",8,16.5%,22.5%,24.8%,35.2%,36.0%,41.3%
01013,"Butler, AL        ",6,20.7%,28.8%,29.1%,34.5%,38.8%,48.0%
01015,"Calhoun, AL        ",3,26.5%,32.8%,30.0%,32.2%,33.5%,34.6%
01017,"Chambers, AL        ",6,23.8%,28.3%,28.5%,32.1%,35.0%,39.5%
01019,"Cherokee, AL        ",8,21.4%,28.1%,31.6%,34.9%,33.5%,36.1%
01021,"Chilton, AL        ",1,20.0%,31.1%,32.6%,35.8%,39.2%,41.6%
01023,"Choctaw, AL        ",9,22.9%,29.3%,31.3%,34.7%,38.3%,38.2%
01025,"Clarke, AL        ",9,25.8%,30.5%,33.4%,37.7%,41.4%,41.0%
01027,"Clay, AL        ",9,24.0%,32.1%,31.1%,37.8%,38.2%,37.4%
01029,"Cleburne, AL        ",8,19.8%,27.4%,29.6%,35.8%,38.1%,39.0%
01031,"Coffee, AL        ",4,27.0%,29.5%,26.3%,26.2%,29.6%,28.9%
01033,"Colbert, AL        ",3,29.9%,34.8%,32.4%,33.9%,34.9%,36.6%
01035,"Conecuh, AL        ",9,20.7%,28.4%,32.7%,38.1%,41.2%,48.3%
01037,"Coosa, AL        ",8,22.1%,31.6%,33.4%,38.3%,43.9%,41.4%
01039,"Covington, AL        ",6,22.0%,27.9%,28.9%,33.0%,34.1%,36.3%
01041,"Crenshaw, AL        ",8,17.1%,24.3%,27.8%,29.0%,38.9%,42.5%
01043,"Cullman, AL        ",4,21.6%,30.9%,30.8%,32.0%,32.6%,31.4%
01045,"Dale, AL        ",4,34.5%,34.5%,28.0%,29.2%,30.6%,31.3%
01047,"Dallas, AL        ",4,24.1%,29.8%,28.2%,33.6%,35.3%,39.7%
01049,"DeKalb, AL        ",6,20.2%,28.0%,30.4%,34.0%,35.6%,31.8%
01051,"Elmore, AL        ",2,26.6%,36.6%,32.4%,33.8%,34.3%,33.8%
01053,"Escambia, AL        ",6,25.3%,32.8%,34.8%,34.7%,34.9%,44.4%
01055,"Etowah, AL        ",3,28.1%,33.0%,30.7%,32.3%,32.6%,33.4%
01057,"Fayette, AL        ",8,21.8%,29.6%,31.7%,35.0%,38.9%,39.8%
01059,"Franklin, AL        ",6,25.1%,29.5%,30.8%,30.5%,33.8%,40.1%
01061,"Geneva, AL        ",3,23.5%,31.1%,31.8%,32.0%,37.1%,36.7%
01063,"Greene, AL        ",2,14.2%,22.1%,29.2%,34.9%,39.4%,37.1%
01065,"Hale, AL        ",2,16.9%,23.8%,31.0%,35.9%,37.5%,37.8%
01067,"Henry, AL        ",3,20.1%,26.4%,28.9%,29.1%,36.2%,32.8%
01069,"Houston, AL        ",3,28.5%,32.7%,29.4%,30.4%,34.3%,32.0%
01071,"Jackson, AL        ",6,21.0%,30.6%,32.0%,34.9%,36.4%,37.4%
01073,"Jefferson, AL        ",1,28.7%,33.1%,28.3%,27.9%,27.4%,26.1%
01075,"Lamar, AL        ",8,18.4%,30.5%,33.8%,37.5%,39.2%,40.9%
01077,"Lauderdale, AL        ",3,27.7%,33.6%,32.2%,34.1%,33.6%,34.9%
01079,"Lawrence, AL        ",3,22.8%,32.4%,37.4%,39.4%,39.4%,41.1%
01081,"Lee, AL        ",3,22.5%,27.4%,25.8%,26.7%,27.3%,21.7%
01083,"Limestone, AL        ",2,24.7%,31.8%,30.5%,32.5%,31.0%,27.8%
01085,"Lowndes, AL        ",2,16.6%,27.3%,31.7%,33.4%,38.9%,41.6%
01087,"Macon, AL        ",3,15.7%,22.7%,23.2%,25.0%,29.1%,31.7%
01089,"Madison, AL        ",2,30.7%,31.5%,23.1%,21.9%,21.9%,19.0%
01091,"Marengo, AL        ",6,21.6%,30.8%,34.4%,37.4%,37.8%,35.6%
01093,"Marion, AL        ",9,21.5%,29.0%,28.7%,32.9%,35.1%,35.5%
01095,"Marshall, AL        ",4,22.9%,30.6%,29.2%,30.5%,31.9%,31.9%
01097,"Mobile, AL        ",2,27.2%,34.8%,32.3%,31.9%,33.5%,34.1%
01099,"Monroe, AL        ",8,21.8%,33.0%,31.5%,34.4%,41.1%,44.0%
01101,"Montgomery, AL        ",2,30.2%,31.2%,25.6%,24.3%,26.5%,25.6%
01103,"Morgan, AL        ",3,29.3%,35.0%,29.8%,30.3%,31.9%,30.8%
01105,"Perry, AL        ",8,16.8%,25.7%,27.1%,30.4%,40.1%,42.9%
01107,"Pickens, AL        ",2,22.2%,29.9%,34.4%,37.8%,42.2%,41.1%
01109,"Pike, AL        ",6,23.1%,26.6%,28.0%,30.0%,36.0%,36.2%
01111,"Randolph, AL        ",8,21.2%,26.9%,28.7%,32.0%,35.2%,34.9%
01113,"Russell, AL        ",2,20.6%,28.6%,30.8%,33.0%,32.2%,29.6%
01115,"St. Clair, AL        ",1,23.6%,33.6%,32.9%,34.6%,34.4%,35.5%
01117,"Shelby, AL        ",1,24.5%,31.7%,25.6%,23.0%,21.4%,20.2%
01119,"Sumter, AL        ",8,17.4%,27.1%,26.2%,31.1%,39.0%,32.2%
01121,"Talladega, AL        ",4,24.9%,31.5%,31.9%,34.4%,37.5%,34.9%
01123,"Tallapoosa, AL        ",6,23.5%,30.0%,28.6%,32.9%,35.2%,32.1%
01125,"Tuscaloosa, AL        ",2,25.2%,31.2%,27.8%,28.4%,31.8%,29.4%
01127,"Walker, AL        ",1,21.0%,31.5%,32.0%,34.7%,35.6%,34.8%
01129,"Washington, AL        ",8,22.9%,33.8%,37.1%,43.6%,48.3%,43.8%
01131,"Wilcox, AL        ",9,19.5%,24.5%,26.5%,30.3%,38.4%,40.4%
01133,"Winston, AL        ",8,22.9%,29.6%,29.0%,34.3%,30.1%,40.4%
08000,Colorado,,34.4%,34.6%,26.5%,23.2%,22.4%,20.4%
08001,"Adams, CO        ",1,41.3%,43.7%,35.0%,30.8%,29.8%,28.7%
08003,"Alamosa, CO        ",7,29.7%,31.9%,27.6%,27.1%,28.9%,27.7%
08005,"Arapahoe, CO        ",1,36.3%,31.8%,21.8%,20.5%,21.2%,19.4%
08007,"Archuleta, CO        ",7,31.8%,28.9%,33.7%,26.8%,25.1%,24.0%
08009,"Baca, CO        ",9,30.4%,34.7%,35.0%,34.3%,31.5%,30.8%
08011,"Bent, CO        ",9,25.9%,32.2%,32.8%,35.1%,42.1%,43.1%
08013,"Boulder, CO        ",2,31.8%,28.6%,20.1%,15.1%,12.7%,11.2%
08014,"Broomfield, CO        ",1,,,,,17.3%,12.5%
08015,"Chaffee, CO        ",6,40.1%,41.4%,36.7%,29.9%,28.2%,24.7%
08017,"Cheyenne, CO        ",9,39.6%,44.8%,44.3%,34.8%,30.2%,31.3%
08019,"Clear Creek, CO        ",1,37.0%,34.5%,26.2%,21.5%,24.8%,18.7%
08021,"Conejos, CO        ",9,27.2%,29.3%,33.3%,33.8%,34.3%,33.0%
08023,"Costilla, CO        ",9,23.6%,25.7%,32.4%,27.3%,31.5%,30.4%
08025,"Crowley, CO        ",8,27.9%,38.0%,32.1%,34.5%,31.5%,43.8%
08027,"Custer, CO        ",8,34.2%,41.9%,35.4%,28.1%,29.6%,21.0%
08029,"Delta, CO        ",6,30.7%,40.2%,37.0%,34.0%,36.0%,36.6%
08031,"Denver, CO        ",1,31.9%,30.1%,23.6%,20.0%,19.0%,15.4%
08033,"Dolores, CO        ",9,25.6%,41.8%,42.8%,33.3%,37.4%,39.6%
08035,"Douglas, CO        ",1,35.6%,35.7%,19.7%,13.1%,13.7%,12.0%
08037,"Eagle, CO        ",5,32.5%,30.2%,23.0%,16.5%,17.8%,16.8%
08039,"Elbert, CO        ",1,35.0%,44.7%,32.2%,27.4%,29.0%,24.8%
08041,"El Paso, CO        ",2,39.7%,38.4%,25.7%,22.9%,21.9%,19.8%
08043,"Fremont, CO        ",4,32.9%,40.1%,34.7%,36.7%,36.5%,38.4%
08045,"Garfield, CO        ",5,35.9%,37.0%,33.3%,26.9%,25.7%,24.2%
08047,"Gilpin, CO        ",1,44.8%,33.2%,27.8%,25.6%,23.0%,16.7%
08049,"Grand, CO        ",9,35.9%,39.3%,28.4%,24.0%,27.8%,28.2%
08051,"Gunnison, CO        ",7,26.7%,25.4%,22.0%,17.8%,16.3%,17.0%
08053,"Hinsdale, CO        ",9,42.9%,33.2%,30.1%,20.7%,22.4%,14.4%
08055,"Huerfano, CO        ",8,24.4%,28.8%,25.4%,32.4%,27.5%,26.0%
08057,"Jackson, CO        ",9,37.7%,46.9%,37.6%,36.1%,36.2%,25.4%
08059,"Jefferson, CO        ",1,37.3%,36.1%,25.2%,22.6%,21.5%,19.2%
08061,"Kiowa, CO        ",9,38.1%,47.3%,41.4%,35.5%,26.5%,28.4%
08063,"Kit Carson, CO        ",9,39.0%,38.1%,35.8%,31.6%,31.2%,29.8%
08065,"Lake, CO        ",9,38.3%,39.1%,33.6%,27.3%,19.5%,26.4%
08067,"La Plata, CO        ",6,34.7%,33.1%,27.4%,23.1%,19.9%,21.3%
08069,"Larimer, CO        ",2,32.4%,32.3%,25.6%,21.3%,19.0%,16.7%
08071,"Las Animas, CO        ",7,25.9%,32.2%,27.9%,27.2%,28.2%,27.1%
08073,"Lincoln, CO        ",8,39.9%,42.3%,35.9%,35.0%,38.0%,41.3%
08075,"Logan, CO        ",6,35.9%,39.4%,35.5%,32.0%,34.1%,37.5%
08077,"Mesa, CO        ",3,32.5%,35.8%,31.9%,30.3%,30.6%,28.8%
08079,"Mineral, CO        ",9,46.3%,41.4%,34.5%,28.4%,25.7%,15.8%
08081,"Moffat, CO        ",7,35.0%,43.5%,35.7%,33.5%,36.5%,41.4%
08083,"Montezuma, CO        ",6,29.4%,33.3%,33.0%,33.1%,28.3%,31.0%
08085,"Montrose, CO        ",5,32.1%,37.4%,35.0%,33.4%,32.0%,33.2%
08087,"Morgan, CO        ",6,31.9%,38.7%,32.5%,31.0%,31.0%,31.7%
08089,"Otero, CO        ",6,30.3%,32.8%,30.6%,30.7%,31.3%,32.6%
08091,"Ouray, CO        ",9,35.2%,36.3%,32.4%,21.6%,21.7%,13.7%
08093,"Park, CO        ",1,36.2%,38.0%,32.9%,26.7%,24.0%,23.1%
08095,"Phillips, CO        ",9,35.7%,42.5%,40.0%,32.1%,32.1%,29.4%
08097,"Pitkin, CO        ",7,21.8%,16.7%,13.5%,10.9%,10.3%,14.0%
08099,"Prowers, CO        ",7,33.1%,34.6%,31.1%,28.9%,29.4%,31.2%
08101,"Pueblo, CO        ",3,31.6%,36.4%,32.6%,31.0%,28.6%,29.5%
08103,"Rio Blanco, CO        ",9,41.4%,39.4%,30.9%,32.0%,35.5%,34.8%
08105,"Rio Grande, CO        ",9,29.7%,31.4%,31.4%,30.0%,30.4%,28.5%
08107,"Routt, CO        ",7,35.6%,34.9%,23.4%,17.7%,17.8%,18.2%
08109,"Saguache, CO        ",9,29.5%,33.1%,33.3%,24.8%,28.0%,31.6%
08111,"San Juan, CO        ",9,30.7%,39.8%,32.0%,14.5%,20.0%,30.6%
08113,"San Miguel, CO        ",9,34.4%,26.7%,23.5%,15.1%,17.2%,17.8%
08115,"Sedgwick, CO        ",9,33.1%,35.5%,37.3%,35.5%,34.3%,25.8%
08117,"Summit, CO        ",5,31.4%,25.7%,18.6%,17.7%,16.3%,16.8%
08119,"Teller, CO        ",2,44.5%,39.6%,29.9%,23.5%,26.2%,21.9%
08121,"Washington, CO        ",9,33.4%,41.0%,38.1%,33.6%,35.3%,28.4%
08123,"Weld, CO        ",2,32.4%,34.2%,29.2%,26.9%,26.3%,24.9%
08125,"Yuma, CO        ",9,32.1%,41.4%,41.2%,33.8%,34.0%,27.1%
23000,Maine,,35.1%,39.3%,37.1%,36.2%,34.2%,31.0%
23001,"Androscoggin, ME        ",3,29.7%,35.9%,38.8%,40.2%,38.8%,35.6%
23003,"Aroostook, ME        ",7,30.8%,36.7%,36.0%,38.5%,38.6%,38.6%
23005,"Cumberland, ME        ",2,38.6%,38.3%,31.5%,28.2%,25.3%,20.6%
23007,"Franklin, ME        ",8,37.0%,43.1%,40.0%,41.0%,38.3%,36.0%
23009,"Hancock, ME        ",8,39.0%,40.0%,37.8%,34.4%,31.7%,30.6%
23011,"Kennebec, ME        ",4,34.7%,38.6%,38.0%,37.7%,36.5%,35.3%
23013,"Knox, ME        ",7,34.9%,39.9%,38.7%,36.4%,35.6%,30.5%
23015,"Lincoln, ME        ",8,37.7%,38.4%,35.2%,35.1%,31.7%,31.1%
23017,"Oxford, ME        ",6,38.1%,44.6%,44.4%,43.0%,44.6%,40.9%
23019,"Penobscot, ME        ",3,35.9%,42.1%,38.1%,38.4%,36.1%,32.9%
23021,"Piscataquis, ME        ",8,36.4%,43.5%,43.6%,43.7%,41.8%,37.2%
23023,"Sagadahoc, ME        ",2,36.8%,39.9%,35.3%,35.8%,33.3%,27.9%
23025,"Somerset, ME        ",6,33.5%,42.2%,43.9%,45.3%,43.0%,41.9%
23027,"Waldo, ME        ",8,35.5%,39.9%,40.5%,38.8%,37.6%,32.4%
23029,"Washington, ME        ",9,32.8%,39.2%,42.1%,41.9%,39.0%,35.9%
23031,"York, ME        ",2,33.7%,38.2%,36.1%,35.0%,32.8%,30.2%
