FIPS,Name,2023 Rural-urban Continuum Code*,1970,1980,1990,2000,2008-2012,2018-2022
13317,"Wilkes, GA        ",8,6.7%,10.1%,10.4%,12.0%,13.8%,15.6%
13319,"Wilkinson, GA        ",8,3.5%,7.3%,8.8%,9.6%,11.5%,12.1%
13321,"Worth, GA        ",3,3.4%,7.8%,6.3%,8.6%,8.9%,9.5%
40000,Oklahoma,,10.0%,15.1%,17.8%,20.3%,23.2%,27.3%
40001,"Adair, OK        ",8,4.5%,8.7%,9.6%,9.8%,10.9%,10.9%
40003,"Alfalfa, OK        ",8,9.6%,14.8%,17.3%,14.9%,20.5%,20.7%
40005,"Atoka, OK        ",9,4.0%,6.8%,10.2%,10.1%,15.0%,14.8%
40007,"Beaver, OK        ",9,7.2%,14.4%,15.4%,17.6%,17.5%,22.7%
40009,"Beckham, OK        ",7,6.4%,10.9%,12.3%,15.5%,15.6%,15.2%
40011,"Blaine, OK        ",8,5.5%,11.3%,12.4%,14.0%,16.0%,17.8%
40013,"Bryan, OK        ",6,9.2%,12.6%,16.9%,17.9%,20.9%,23.8%
40015,"Caddo, OK        ",6,5.5%,9.3%,11.6%,14.2%,13.5%,15.1%
40017,"Canadian, OK        ",1,7.9%,15.2%,16.7%,20.9%,25.6%,32.0%
40019,"Carter, OK        ",5,7.7%,11.2%,13.4%,15.1%,17.0%,19.6%
40021,"Cherokee, OK        ",6,10.3%,17.8%,21.1%,22.1%,24.6%,28.6%
40023,"Choctaw, OK        ",9,5.0%,7.2%,7.1%,9.9%,12.0%,14.7%
40025,"Cimarron, OK        ",9,7.7%,12.7%,15.1%,17.7%,16.7%,31.7%
40027,"Cleveland, OK        ",1,20.2%,25.7%,25.9%,28.0%,31.4%,35.2%
40029,"Coal, OK        ",9,4.7%,7.4%,9.1%,12.4%,12.4%,17.2%
40031,"Comanche, OK        ",3,11.3%,15.1%,18.4%,19.1%,20.3%,23.8%
40033,"Cotton, OK        ",3,4.3%,8.4%,8.9%,14.0%,13.8%,18.2%
40035,"Craig, OK        ",6,5.4%,8.1%,10.0%,10.5%,14.0%,13.4%
40037,"Creek, OK        ",1,5.0%,8.7%,10.6%,11.7%,15.7%,18.0%
40039,"Custer, OK        ",5,12.7%,17.8%,20.4%,22.8%,25.7%,31.1%
40041,"Delaware, OK        ",6,4.8%,7.3%,10.8%,13.3%,15.7%,18.7%
40043,"Dewey, OK        ",9,4.9%,10.5%,12.1%,16.6%,20.5%,19.5%
40045,"Ellis, OK        ",9,7.0%,12.0%,14.0%,19.2%,23.9%,19.0%
40047,"Garfield, OK        ",3,10.9%,16.1%,17.3%,19.6%,21.6%,22.7%
40049,"Garvin, OK        ",6,6.0%,8.6%,10.1%,12.0%,15.1%,16.4%
40051,"Grady, OK        ",1,7.8%,11.8%,13.2%,14.4%,16.7%,22.1%
40053,"Grant, OK        ",8,6.3%,13.7%,15.6%,16.2%,19.5%,22.4%
40055,"Greer, OK        ",9,6.1%,9.7%,10.0%,12.6%,14.9%,9.4%
40057,"Harmon, OK        ",9,7.4%,8.2%,10.5%,12.1%,15.6%,14.8%
40059,"Harper, OK        ",9,7.0%,11.2%,13.6%,19.2%,15.4%,23.0%
40061,"Haskell, OK        ",8,4.4%,8.1%,7.7%,10.3%,12.9%,14.7%
40063,"Hughes, OK        ",9,4.8%,8.0%,7.7%,9.7%,11.4%,14.6%
40065,"Jackson, OK        ",7,8.5%,13.6%,16.5%,18.5%,20.7%,24.2%
40067,"Jefferson, OK        ",8,6.4%,7.5%,6.6%,10.6%,11.3%,16.7%
40069,"Johnston, OK        ",9,6.2%,7.6%,9.3%,13.3%,17.2%,20.9%
40071,"Kay, OK        ",4,11.9%,15.7%,18.5%,18.3%,18.8%,18.1%
40073,"Kingfisher, OK        ",8,6.3%,11.3%,13.4%,16.1%,18.5%,22.9%
40075,"Kiowa, OK        ",8,6.0%,8.5%,11.1%,14.8%,17.5%,17.9%
40077,"Latimer, OK        ",9,6.0%,10.2%,11.0%,12.0%,13.5%,12.8%
40079,"Le Flore, OK        ",6,4.8%,8.0%,9.6%,11.3%,12.4%,15.2%
40081,"Lincoln, OK        ",1,5.9%,7.7%,10.1%,11.1%,12.6%,15.9%
40083,"Logan, OK        ",1,7.7%,11.7%,14.8%,19.1%,22.9%,30.7%
40085,"Love, OK        ",9,5.0%,7.0%,9.3%,10.8%,15.4%,15.3%
40087,"McClain, OK        ",1,4.9%,9.7%,13.3%,15.7%,19.0%,26.8%
40089,"McCurtain, OK        ",7,4.3%,7.9%,9.6%,10.8%,13.0%,15.7%
40091,"McIntosh, OK        ",8,5.2%,8.1%,10.7%,13.1%,12.7%,13.6%
40093,"Major, OK        ",8,6.9%,10.4%,13.1%,14.4%,15.8%,18.3%
40095,"Marshall, OK        ",9,6.3%,8.1%,9.7%,11.4%,15.1%,15.6%
40097,"Mayes, OK        ",6,4.9%,9.0%,10.8%,12.1%,13.9%,15.4%
40099,"Murray, OK        ",9,6.5%,10.1%,13.5%,14.9%,15.6%,17.5%
40101,"Muskogee, OK        ",4,7.9%,12.0%,14.1%,15.4%,17.7%,20.2%
40103,"Noble, OK        ",8,7.5%,8.8%,12.7%,15.8%,19.3%,19.7%
40105,"Nowata, OK        ",8,3.9%,7.5%,7.4%,9.5%,11.8%,16.8%
40107,"Okfuskee, OK        ",8,5.3%,7.1%,8.2%,9.2%,11.4%,12.5%
40109,"Oklahoma, OK        ",1,13.1%,19.2%,22.6%,25.4%,29.3%,34.2%
40111,"Okmulgee, OK        ",1,5.9%,8.8%,8.8%,11.4%,14.0%,16.0%
40113,"Osage, OK        ",1,6.7%,10.8%,13.1%,14.6%,16.4%,20.1%
40115,"Ottawa, OK        ",6,6.9%,8.9%,10.4%,12.2%,13.2%,15.4%
40117,"Pawnee, OK        ",1,5.6%,9.8%,10.4%,12.1%,17.7%,16.4%
40119,"Payne, OK        ",4,21.4%,27.4%,30.1%,34.2%,35.9%,38.6%
40121,"Pittsburg, OK        ",7,5.4%,9.3%,10.3%,12.9%,15.0%,19.0%
40123,"Pontotoc, OK        ",7,10.6%,15.3%,18.0%,21.8%,26.5%,28.8%
40125,"Pottawatomie, OK        ",4,6.9%,10.8%,12.2%,15.5%,16.7%,20.9%
40127,"Pushmataha, OK        ",9,4.6%,8.3%,7.8%,12.4%,10.9%,14.0%
40129,"Roger Mills, OK        ",9,4.0%,10.4%,9.5%,15.8%,20.5%,22.3%
40131,"Rogers, OK        ",1,5.5%,10.4%,13.0%,16.9%,22.9%,25.1%
40133,"Seminole, OK        ",7,5.1%,9.3%,9.6%,12.1%,13.6%,14.8%
40135,"Sequoyah, OK        ",3,5.5%,8.3%,8.8%,10.9%,12.9%,15.0%
40137,"Stephens, OK        ",4,6.9%,11.7%,14.7%,16.6%,16.8%,18.9%
40139,"Texas, OK        ",7,10.1%,15.5%,15.1%,17.7%,19.9%,24.5%
40141,"Tillman, OK        ",8,5.9%,11.7%,11.4%,12.5%,17.3%,18.2%
40143,"Tulsa, OK        ",1,12.9%,19.7%,23.7%,26.9%,29.5%,33.2%
40145,"Wagoner, OK        ",1,3.7%,12.0%,12.0%,15.4%,22.1%,26.1%
40147,"Washington, OK        ",4,19.2%,24.2%,25.8%,25.8%,25.4%,30.7%
40149,"Washita, OK        ",9,6.5%,8.3%,11.0%,15.1%,16.9%,19.6%
40151,"Woods, OK        ",7,14.8%,20.8%,23.5%,23.7%,27.3%,32.1%
40153,"Woodward, OK        ",7,6.5%,10.9%,13.0%,15.2%,18.0%,19.3%
01000,Alabama,,7.8%,12.2%,15.7%,19.0%,22.3%,27.2%
01001,"Autauga, AL        ",2,6.4%,12.1%,14.5%,18.0%,21.7%,29.6%
01003,"Baldwin, AL        ",3,6.5%,12.1%,16.8%,23.1%,27.7%,32.6%
01005,"Barbour, AL        ",6,7.3%,9.2%,11.8%,10.9%,14.5%,11.9%
01007,"Bibb, AL        ",1,4.2%,4.9%,4.7%,7.1%,9.0%,10.9%
01009,"Blount, AL        ",1,2.7%,5.3%,7.0%,9.6%,12.4%,14.7%
01011,"Bullock, AL        ",8,5.4%,8.8%,10.0%,7.7%,11.9%,9.4%
01013,"Butler, AL        ",6,4.6%,8.2%,8.0%,10.4%,12.9%,13.0%
01015,"Calhoun, AL        ",3,7.5%,11.0%,14.2%,15.2%,16.0%,19.2%
01017,"Chambers, AL        ",6,4.2%,7.4%,8.9%,9.5%,11.0%,12.7%
01019,"Cherokee, AL        ",8,3.8%,6.3%,6.7%,9.7%,13.1%,14.6%
01021,"Chilton, AL        ",1,3.0%,6.5%,7.5%,9.9%,12.5%,14.0%
01023,"Choctaw, AL        ",9,4.3%,7.0%,8.5%,9.6%,11.9%,13.0%
01025,"Clarke, AL        ",9,5.5%,8.9%,10.8%,12.1%,12.7%,13.8%
01027,"Clay, AL        ",9,4.3%,5.9%,7.3%,7.8%,8.8%,12.8%
01029,"Cleburne, AL        ",8,2.7%,5.8%,6.5%,9.2%,9.5%,16.5%
01031,"Coffee, AL        ",4,5.8%,12.2%,16.5%,19.3%,22.6%,21.6%
01033,"Colbert, AL        ",3,5.8%,9.4%,11.5%,14.1%,18.0%,18.0%
01035,"Conecuh, AL        ",9,4.1%,6.2%,6.4%,9.2%,9.7%,13.3%
01037,"Coosa, AL        ",8,3.4%,3.6%,6.3%,8.0%,9.7%,10.6%
01039,"Covington, AL        ",6,4.7%,7.1%,9.1%,12.2%,13.8%,16.3%
01041,"Crenshaw, AL        ",8,3.9%,6.8%,8.4%,11.2%,11.0%,17.2%
01043,"Cullman, AL        ",4,3.9%,7.3%,7.8%,11.9%,14.2%,18.3%
01045,"Dale, AL        ",4,9.0%,11.6%,13.5%,14.0%,17.5%,19.2%
01047,"Dallas, AL        ",4,8.8%,11.3%,12.2%,13.9%,13.3%,15.7%
01049,"DeKalb, AL        ",6,3.7%,5.7%,7.1%,8.3%,9.9%,14.1%
01051,"Elmore, AL        ",2,5.4%,10.3%,12.8%,16.6%,21.1%,24.2%
01053,"Escambia, AL        ",6,4.8%,7.2%,7.6%,10.6%,12.2%,12.6%
01055,"Etowah, AL        ",3,5.2%,8.9%,10.2%,13.4%,15.2%,17.7%
01057,"Fayette, AL        ",8,3.8%,7.3%,8.5%,9.2%,11.6%,13.0%
01059,"Franklin, AL        ",6,3.4%,6.0%,6.9%,9.7%,12.2%,14.8%
01061,"Geneva, AL        ",3,4.5%,5.9%,6.8%,8.7%,10.9%,13.9%
01063,"Greene, AL        ",2,6.5%,9.6%,10.4%,10.5%,11.6%,16.7%
01065,"Hale, AL        ",2,5.0%,6.7%,8.9%,8.1%,11.7%,16.4%
01067,"Henry, AL        ",3,4.8%,8.6%,8.2%,14.1%,15.8%,21.0%
01069,"Houston, AL        ",3,7.0%,12.7%,15.0%,18.4%,19.3%,22.5%
01071,"Jackson, AL        ",6,3.4%,6.8%,8.0%,10.4%,13.2%,16.2%
01073,"Jefferson, AL        ",1,9.5%,15.8%,19.9%,24.6%,29.3%,35.6%
01075,"Lamar, AL        ",8,3.4%,5.9%,6.2%,7.8%,10.2%,10.2%
01077,"Lauderdale, AL        ",3,8.3%,13.0%,16.4%,18.5%,21.9%,25.8%
01079,"Lawrence, AL        ",3,2.4%,4.0%,6.2%,7.5%,13.0%,15.8%
01081,"Lee, AL        ",3,16.6%,21.6%,25.3%,27.9%,31.3%,40.2%
01083,"Limestone, AL        ",2,6.2%,8.7%,13.8%,16.9%,21.9%,29.5%
01085,"Lowndes, AL        ",2,5.0%,6.8%,8.2%,11.0%,14.2%,16.3%
01087,"Macon, AL        ",3,14.7%,18.1%,18.0%,18.8%,19.5%,20.6%
01089,"Madison, AL        ",2,18.8%,21.4%,30.1%,34.3%,37.8%,45.1%
01091,"Marengo, AL        ",6,6.4%,8.8%,11.5%,12.1%,17.7%,22.0%
01093,"Marion, AL        ",9,3.5%,6.1%,6.7%,8.0%,8.7%,11.8%
01095,"Marshall, AL        ",4,5.2%,8.6%,11.5%,13.9%,15.3%,21.4%
01097,"Mobile, AL        ",2,7.5%,12.4%,15.5%,18.6%,20.3%,24.2%
01099,"Monroe, AL        ",8,5.7%,8.7%,10.8%,11.8%,9.9%,13.5%
01101,"Montgomery, AL        ",2,12.7%,20.0%,24.2%,28.5%,30.9%,33.7%
01103,"Morgan, AL        ",3,8.4%,11.8%,15.5%,18.4%,19.5%,23.8%
01105,"Perry, AL        ",8,7.1%,9.7%,11.5%,10.0%,11.0%,15.2%
01107,"Pickens, AL        ",2,4.6%,7.0%,6.6%,9.8%,9.8%,14.5%
01109,"Pike, AL        ",6,7.1%,11.3%,14.3%,18.4%,22.5%,27.7%
01111,"Randolph, AL        ",8,3.7%,7.2%,7.7%,10.0%,11.9%,18.8%
01113,"Russell, AL        ",2,3.0%,5.7%,8.2%,9.7%,14.7%,16.4%
01115,"St. Clair, AL        ",1,3.1%,6.4%,8.5%,11.1%,14.9%,19.3%
01117,"Shelby, AL        ",1,5.8%,17.8%,29.0%,36.8%,40.5%,45.6%
01119,"Sumter, AL        ",8,7.4%,9.9%,11.1%,12.4%,15.3%,21.8%
01121,"Talladega, AL        ",4,5.1%,7.8%,10.2%,11.2%,12.3%,16.6%
01123,"Tallapoosa, AL        ",6,4.4%,8.3%,11.5%,14.1%,15.5%,18.2%
01125,"Tuscaloosa, AL        ",2,10.9%,16.6%,20.0%,24.0%,26.6%,30.9%
01127,"Walker, AL        ",1,4.0%,6.4%,7.2%,9.1%,10.3%,15.3%
01129,"Washington, AL        ",8,3.6%,5.5%,6.7%,8.6%,9.5%,14.2%
01131,"Wilcox, AL        ",9,6.3%,9.5%,10.3%,10.1%,11.1%,11.6%
01133,"Winston, AL        ",8,3.3%,5.2%,5.4%,8.3%,11.7%,13.8%
08000,Colorado,,14.9%,23.0%,27.0%,32.7%,36.7%,43.7%
08001,"Adams, CO        ",1,8.6%,10.8%,13.0%,17.4%,20.7%,27.2%
08003,"Alamosa, CO        ",7,17.8%,20.6%,24.1%,27.0%,23.1%,28.2%
08005,"Arapahoe, CO        ",1,21.5%,31.9%,35.2%,37.0%,38.5%,44.9%
08007,"Archuleta, CO        ",7,5.9%,22.3%,19.7%,29.0%,36.1%,39.4%
08009,"Baca, CO        ",9,7.1%,12.4%,13.6%,14.0%,17.4%,24.4%
08011,"Bent, CO        ",9,5.9%,9.9%,14.6%,11.5%,8.9%,15.5%
08013,"Boulder, CO        ",2,26.5%,36.4%,42.1%,52.4%,58.0%,63.2%
08014,"Broomfield, CO        ",1,,,,,47.0%,58.4%
08015,"Chaffee, CO        ",6,8.0%,13.3%,15.2%,24.3%,33.4%,41.4%
08017,"Cheyenne, CO        ",9,5.9%,12.7%,11.9%,14.2%,18.6%,23.4%
08019,"Clear Creek, CO        ",1,13.0%,29.9%,31.2%,38.8%,37.3%,55.0%
08021,"Conejos, CO        ",9,5.4%,9.7%,10.7%,14.4%,20.4%,24.6%
08023,"Costilla, CO        ",9,7.7%,10.1%,10.5%,12.8%,15.5%,23.7%
08025,"Crowley, CO        ",8,5.4%,8.6%,8.0%,11.9%,12.1%,12.7%
08027,"Custer, CO        ",8,5.5%,16.8%,19.2%,26.7%,32.5%,36.5%
08029,"Delta, CO        ",6,7.2%,12.2%,13.6%,17.6%,18.6%,24.5%
08031,"Denver, CO        ",1,15.5%,24.8%,29.0%,34.5%,42.2%,54.2%
08033,"Dolores, CO        ",9,2.2%,7.7%,9.8%,13.5%,18.8%,26.3%
08035,"Douglas, CO        ",1,18.7%,27.2%,40.7%,51.9%,54.8%,60.0%
08037,"Eagle, CO        ",5,12.0%,34.6%,33.0%,42.6%,47.5%,51.8%
08039,"Elbert, CO        ",1,7.7%,15.0%,19.8%,26.6%,30.1%,35.6%
08041,"El Paso, CO        ",2,16.5%,20.9%,25.8%,31.8%,35.3%,40.2%
08043,"Fremont, CO        ",4,6.9%,11.7%,11.8%,13.5%,15.9%,20.2%
08045,"Garfield, CO        ",5,10.0%,20.2%,21.6%,23.8%,25.2%,33.7%
08047,"Gilpin, CO        ",1,9.5%,25.6%,29.5%,31.2%,30.1%,43.9%
08049,"Grand, CO        ",9,10.4%,21.2%,30.2%,34.5%,32.3%,37.8%
08051,"Gunnison, CO        ",7,23.8%,39.6%,36.9%,43.6%,51.9%,59.3%
08053,"Hinsdale, CO        ",9,8.3%,30.6%,32.0%,34.9%,43.7%,44.6%
08055,"Huerfano, CO        ",8,6.7%,11.3%,12.6%,16.1%,25.3%,26.1%
08057,"Jackson, CO        ",9,9.2%,13.4%,15.3%,19.9%,21.6%,27.5%
08059,"Jefferson, CO        ",1,19.8%,26.8%,30.7%,36.5%,40.4%,49.1%
08061,"Kiowa, CO        ",9,4.7%,8.9%,9.1%,16.1%,23.0%,18.0%
08063,"Kit Carson, CO        ",9,6.9%,12.4%,15.8%,15.4%,14.9%,18.0%
08065,"Lake, CO        ",9,7.2%,13.5%,16.2%,19.5%,24.1%,39.2%
08067,"La Plata, CO        ",6,11.9%,22.1%,28.1%,36.4%,41.6%,47.0%
08069,"Larimer, CO        ",2,19.5%,28.8%,32.3%,39.5%,43.5%,50.9%
08071,"Las Animas, CO        ",7,5.9%,11.3%,12.7%,16.2%,17.1%,16.5%
08073,"Lincoln, CO        ",8,5.6%,9.4%,12.9%,13.2%,15.8%,22.7%
08075,"Logan, CO        ",6,8.9%,12.4%,14.2%,14.6%,15.7%,19.7%
08077,"Mesa, CO        ",3,10.5%,16.3%,17.4%,22.0%,25.1%,30.0%
08079,"Mineral, CO        ",9,11.3%,22.9%,17.9%,31.2%,38.1%,57.7%
08081,"Moffat, CO        ",7,9.3%,14.7%,16.4%,12.5%,14.4%,20.5%
08083,"Montezuma, CO        ",6,7.9%,13.6%,15.9%,21.0%,27.2%,30.1%
08085,"Montrose, CO        ",5,8.8%,13.8%,15.4%,18.7%,23.1%,27.7%
08087,"Morgan, CO        ",6,8.2%,12.4%,11.7%,13.5%,14.6%,17.7%
08089,"Otero, CO        ",6,7.1%,12.0%,13.0%,15.4%,15.2%,18.3%
08091,"Ouray, CO        ",9,10.2%,24.6%,27.9%,36.8%,46.4%,49.6%
08093,"Park, CO        ",1,14.7%,18.8%,22.4%,30.3%,33.8%,35.5%
08095,"Phillips, CO        ",9,8.5%,12.9%,14.2%,19.9%,19.4%,26.3%
08097,"Pitkin, CO        ",7,36.1%,46.2%,49.8%,57.1%,55.3%,63.1%
08099,"Prowers, CO        ",7,7.5%,12.8%,12.2%,11.9%,16.3%,18.2%
08101,"Pueblo, CO        ",3,8.1%,13.2%,14.0%,18.3%,21.0%,24.1%
08103,"Rio Blanco, CO        ",9,9.3%,18.0%,15.4%,19.5%,22.3%,23.8%
08105,"Rio Grande, CO        ",9,10.1%,15.3%,17.5%,18.8%,19.0%,31.3%
08107,"Routt, CO        ",7,15.5%,31.7%,34.7%,42.5%,45.8%,50.0%
08109,"Saguache, CO        ",9,4.6%,11.2%,14.4%,19.6%,21.7%,24.4%
08111,"San Juan, CO        ",9,17.5%,24.3%,24.0%,43.7%,30.2%,41.7%
08113,"San Miguel, CO        ",9,4.1%,35.9%,40.3%,48.5%,53.6%,62.2%
08115,"Sedgwick, CO        ",9,7.8%,11.2%,8.6%,13.4%,14.6%,26.5%
08117,"Summit, CO        ",5,18.2%,38.7%,39.7%,48.3%,49.1%,52.3%
08119,"Teller, CO        ",2,12.8%,19.5%,26.4%,31.7%,30.6%,38.0%
08121,"Washington, CO        ",9,8.3%,10.9%,11.8%,14.3%,18.0%,24.5%
08123,"Weld, CO        ",2,12.0%,16.8%,18.4%,21.6%,25.8%,30.7%
08125,"Yuma, CO        ",9,8.3%,11.5%,13.4%,15.5%,17.4%,24.4%
23000,Maine,,8.4%,14.4%,18.8%,22.9%,27.3%,34.1%
23001,"Androscoggin, ME        ",3,6.2%,10.5%,12.6%,14.4%,18.6%,22.8%
23003,"Aroostook, ME        ",7,6.0%,11.0%,12.5%,14.6%,16.5%,21.4%
23005,"Cumberland, ME        ",2,11.6%,19.0%,27.6%,34.2%,40.2%,50.6%
23007,"Franklin, ME        ",8,8.2%,14.0%,17.7%,20.9%,22.7%,28.8%
23009,"Hancock, ME        ",8,8.5%,16.8%,21.4%,27.1%,32.2%,36.6%
23011,"Kennebec, ME        ",4,9.1%,15.0%,18.1%,20.7%,24.2%,29.9%
23013,"Knox, ME        ",7,8.7%,15.4%,19.8%,26.2%,29.1%,37.9%
23015,"Lincoln, ME        ",8,10.3%,20.3%,22.2%,26.6%,31.6%,39.2%
23017,"Oxford, ME        ",6,6.7%,10.8%,12.7%,15.7%,18.2%,21.5%
23019,"Penobscot, ME        ",3,9.7%,14.2%,17.7%,20.3%,23.4%,29.8%
23021,"Piscataquis, ME        ",8,5.0%,8.3%,12.3%,13.3%,16.2%,20.8%
23023,"Sagadahoc, ME        ",2,8.0%,15.1%,21.6%,25.0%,31.3%,38.7%
23025,"Somerset, ME        ",6,5.2%,9.1%,10.5%,11.8%,14.8%,19.7%
23027,"Waldo, ME        ",8,6.7%,13.9%,16.8%,22.3%,26.4%,33.3%
23029,"Washington, ME        ",9,4.5%,10.3%,12.7%,14.7%,19.2%,24.6%
23031,"York, ME        ",2,7.7%,14.4%,19.0%,22.9%,28.6%,33.2%
